w1,w2,L1_1,L2_1,a_1,L1_2,L2_2,a_2,y
0,9.592428616059934,0,-0.4156794360289815,0,1,-0.12320537330836204,0,0
1,8.025205635605143,1,0.3271899354836821,0,0,1.0475551805069978,0,0
0,16.107140224299616,0,-0.38051776937870174,0,0,0.45155782076628803,1,0
1,15.004245210425292,0,1.379270099147326,0,1,0.2351547861193508,0,1
1,5.963333850685196,0,0.2437692136130012,0,0,-1.7327070306696772,0,0
0,11.619410196602853,0,-0.4990742141304494,0,1,1.822445952206404,0,0
1,8.416208708974004,1,-1.712730876995588,0,0,-1.4071788599946813,1,1
1,3.7169957178321447,0,-0.5965111487177179,1,0,-0.3936989313545899,1,0
1,12.600480524752573,1,2.182023657380342,1,0,0.9050599443297667,0,0
0,11.683153162965647,1,-0.4439308895014084,0,0,0.8054504839383311,0,0
1,11.610522929947676,1,-0.7098940765533812,0,0,1.2356879476977438,0,1
0,12.86461016720493,0,0.7815936044498966,0,1,2.4381098106703485,1,0
1,15.52986065758635,0,0.6065917314187973,1,1,-1.4717366847630984,1,1
1,12.822390017933547,0,0.8898529567706107,1,1,-0.23243114168334666,0,1
0,9.534256628505887,0,-0.18263251887027832,0,0,0.010501649205300556,0,0
1,9.060802992314876,0,1.2232622461828206,1,0,1.8007110754916624,1,1
0,11.472788827835275,1,-1.057880971919657,0,0,-1.4870416002514042,0,0
0,13.240067946315808,0,0.08352391148949911,0,1,-0.6426247109913654,0,1
0,7.841278589191834,1,-0.6257275513260384,0,1,-0.31752882909827673,0,1
1,11.262764524630464,0,0.803386283263488,1,1,-0.23662922309773504,1,0
1,15.869069040671654,0,0.29869745180885277,1,0,2.2908924443199226,1,0
1,11.566879635062055,1,1.235376878120757,0,1,-0.4844497254284599,0,1
1,9.20631732962244,0,2.16056404227757,0,0,2.751419422973908,1,0
1,10.89621932629784,0,0.25961772498796243,0,0,-1.6377472884792241,1,0
1,16.45859418144792,1,-0.36003071038390316,0,0,-0.6997676857573397,1,0
1,14.200175844856544,1,-0.6715149680701383,1,1,0.7448240745360457,1,0
1,16.94670320032642,1,-0.0835669502273805,1,0,0.997668656097322,1,0
1,12.556391428647084,1,0.065962077926093,0,1,-1.2183346558873571,0,1
0,13.6411003859617,0,2.128212918580192,0,0,0.7885258861452618,0,0
0,9.76617235060747,1,-1.0314478192316938,0,0,-0.8756802559848452,0,1
1,14.421482675721332,1,-0.9390026097676688,1,1,-1.9577644217567198,1,0
1,9.974665831243042,0,-0.2982200320053485,0,0,0.1972967411357375,0,0
1,6.3177379812170225,0,0.6607368433104829,0,1,-0.27002426077254404,0,0
1,12.511971862736504,0,0.9562315783647722,0,0,-0.5387717189777548,1,1
0,19.783404870925743,1,-0.7101006505325892,1,1,-1.142435369720158,0,1
0,15.203657358292247,0,0.2790751799325109,0,1,-0.7930988792812834,0,0
1,16.66101355978504,0,0.13371715770027393,0,0,1.376969260620227,1,1
